comment_v1,comment_v2,type,sentiment
আপনাদের সেলুট ভাইয়াএগিয়ে যায় আমরা আছিprank king সাথে ,আপনা সেলুট ভাইয়াএগা যায় আছিprank king সাথে,4,1
ami ans korte korte song korte suru kori,ami an kort kort song kort suru kori,0,1
excellent,excel,2,2
yo gurt,yo gurt,1,1
তার সাথে ২০২৪ শে পরিচয় ২০২৫ শে বিয়ে আবার ২০২৫ শেই বিচ্ছেদ আমি হয়তো একদিন থাকবো না তবে আমার কমেন্ট যুগযুগ ধরে রয়ে জাবে তবে শে নিজে আমাকে ছেড়ে গেছে আমার অপরাধ তার ফোন ভেঙে ফেলা তার দোষ আর তুলে না ধরি আমি ই খারাপ,সাথে শে পরিচয় শে বিয়ে শেই বিচ্ছেদ একদিন থাকবো না কমেন্ট যুগযুগ রয় জাবে শে ছাড় অপরাধ ফোন ভাঙ ফেলা দোষ না ধরি খারাপ,0,0
এখন আর নিজের ভিতর কোন আবেগ কাজে করে না ২১ বছরে জীবনে গতিপথ হারিয়ে পেলছি ২৪এসে নিজেয় সব স্বপ্ন ইচ্ছে শখ বিষরজন দিয়ে দিছি এখন নিজেকে নিয়ে আফসোজ করি না ২৫ বলতে আমার জীবন পরিবার নিয়ে সীমাবদ্ধ,ভিতর আবেগ না বছরে জীবনে গতিপথ হারা পেল এসে নিজেয় স্বপ্ন ইচ্ শখ বিষরজন দিছি আফসোজ না জীবন পরিব সীমাবদ্ধ,0,0
osthor,osthor,1,1
noting to say just wow,note say wow,0,2
who is in september 2025,septemb,4,1
best youtuber bengali industry the bong guy hrithik adhikari,best youtub bengali industri bong guy hrithik adhikari,2,2
এই গানটা জতবা শুনি ততবারি আমার ছোট বেলার বন্দু দের কথা মনে পরে যায়,গান জতবা শুনি ততবারি বেল বন্দু দের কথা যায়,0,2
what is the meaning of this song can anyone explain,mean song anyon explain,4,1
লিয়ন তোমাকে খুব ভালোবাসি কিন্তু তুমি বুঝলে না আচ্ছা না বুঝলে আমি কিছু মনে করিনি তাই পাব না জেনেও আজ ও তোমার খোঁজ নেই তুমি বোলেছিলে রিলেশনের কথা বললে কথা বলবা না তাই আমি সেদিন থেকে চুপ,লিয়ন তোমাকে ভালোবাসি বুঝলে না আচ্ছা না বুঝলে করিনি পাব না জান খোঁজ বোলেছিলে রিলেশন কথা বললে কথা বলবা না সেদিন চুপ,0,0
না পেয়েও ভালোবাসা যায়,না পেয়ে ভালোবাসা,0,2
most underated singer in bangladesh,under singer bangladesh,2,2
sir extra sheet please arokom arr mor tora shobai mor akta keo help korbo na,sir extra sheet pleas arokom arr mor tora shobai mor akta keo help korbo na,0,0
love from the heart brother,love heart brother,0,2
অনেক কষ্ট লাগে এই গান টি শুনে দেহটা আমার কেপে উঠল,কষ্ট লাগে গান শুনে দেহ কাপ উঠল,0,2
onek shundor,onek shundor,0,2
osthir bbu jast osthir i love you prottoy jast love you,osthir bbu jast osthir love prottoy jast love,0,2
part to okay okay chaw 2019 a,part okay okay chaw,4,1
jai shree ram song,jai shree ram song,1,1
it39s july 2025 let see how many legends still listening this masterpiece,it juli let see mani legend still listen masterpiec,2,1
dada ready tomar game er jonno,dada readi tomar game er jonno,1,1
এই জাতি নাকি বাংলাদেশ দখল করবে,জাতি বাংলাদেশ দখল,2,0
খুব মোন পুড়ছে সেই দিন গুলো ভাবলে,মোন পুড় গুলো ভাবলে,0,0
𝑲𝒏𝒐 𝒋𝒆 𝒃𝒐𝒓𝒐 𝒉𝒐𝒍𝒂𝒎𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒄𝒐𝒕𝒐 𝒃𝒆𝒍𝒂,𝑲𝒏𝒐 𝒋𝒆 𝒃𝒐𝒓𝒐 𝒉𝒐𝒍𝒂𝒎𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒄𝒐𝒕𝒐 𝒃𝒆𝒍𝒂,0,2
এই শহর আর আমার নয়,শহর,0,0
oi jaygata ja dilo na srijit mukherjeer moto amon jayga theke tukbo na key dhortei parbe na ami vabchi ei videota jodi srijit mukherjee dkhn,oi jaygata ja dilo na srijit mukherj moto amon jayga theke tukbo na key dhortei parb na ami vabchi ei videota jodi srijit mukherje dkhn,0,0
more drinks to the universe from zambia,drink univers zambia,0,2
ami tomar khoub boro fan tomar son of a btch vidieo valo,ami tomar khoub boro fan tomar son btch vidieo valo,0,2
dada sotti ai rokom hoi,dada sotti ai rokom hoi,0,0
hall e boshe amon krle keliye rampat kre debe,hall e bosh amon krle keliy rampat kre debe,2,0
absolutely right,absolut right,2,2
jai siya ram,jai siya ram,0,2
achi dada,achi dada,0,1
who39s here october 2025,who octob,4,1
ami amon react kortm jno onek ki6u pore as6i teachers der chokhe but aidike vitore laddu,ami amon react kortm jno onek kiu pore asi teacher der chokh aidik vitor laddu,0,1
ফের শালা ফালতু,শালা ফালতু,0,0
aktu beshi over acting kintu valo hoise,aktu beshi act kintu valo hois,2,0
5 theka 8 dharmik 8 theka 10 mir jafor,theka dharmik theka mir jafor,1,1
amader paser barir pisir name shiuli uni 5 ta biye korechen uni ki sotti sotti lokhkhi ami to sei niye chintai achi,amad paser barir pisir name shiuli uni ta biy korechen uni ki sotti sotti lokhkhi ami sei niy chintai achi,0,0
রিদয় চুয়ে যাওয়ার একটা গানএটা গান নয় এ যেন ব্যাস্তাবতাকণিকের জন্য হলে সব ওলটপালট করবে ৩০ ইয়ার পরের,রিদয় চুয় এক গানএ গান ব্যাস্তাবতাকণিক ওলটপালট ইয় পর,2,0
miss you subash,miss subash,0,2
1449 ai line ta sei chilo,ai line ta sei chilo,1,1
who39s listening in april 2030,who listen april,4,1
বাংলাদেশের জলবায়ু পরিবর্তন বিষয়ক এনিমেশন কার্টুন দেখুন,বাংলাদেশের জলবায়ু পরিবর্তন বিষয়ক এনিমেশন কার্টুন দেখুন,1,1
ছোট্ট ছেলে ছোট লোক,ছোট্ট ছাল লোক,0,1
significant other information,signific inform,1,1
dada sotti mone hocche keno beche achidada darun diyecho,dada sotti mone hocch keno bech achidada darun diyecho,0,0
ভাইয়া ভিডিও কি আর ছাড়বেন না ,ভাইয়া ভিডি ছাড় না,4,1
মরেছি আমি ২২ এই,মরে,0,0
ভাই বংগাই কোত্থেকে এই আজব ভিডিওগুলো জোগাড় কর বল তো hats off,ভাই বংগা কোত্থে আজব ভিডিও জোগাড় কর বল hat,0,2
কে কে এই ভিডিও টা ৪ বশর পর দেক্তাসো,ভিডি বশর দেক্তাসো,4,1
i male at 30 exactly died at 25 still thriving for life trying to not lose not to give up,male exactli die still thrive life tri lose give,0,1
যদি সুযোগ থাকত তাহলে আমি আগে সেই শৈশবে ফিরে যেতাম,সুযোগ থাকত শৈশবে যেতাম,0,0
anyone 2025k,anyon k,1,1
2025 jul 1,jul,1,1
darun,darun,0,1
গানটা শুনলে,গান শুনলে,2,1
এত্ত হাসাছ কেন ভাই,এত্ত হাসা ভাই,0,2
ami cheating kortam but partam na  thakur nomoskar kore exam start kortam,ami cheat kortam partam na thakur nomoskar kore exam start kortam,0,1
amar to likte likte sesiii hoy na,amar likt likt sesiii hoy na,0,0
roll1and2 bek 10 ar vitora,rolland bek ar vitora,1,1
amar mama same to same haroon ar moto dekta18 your amar mamar,amar mama haroon ar moto dekta amar mamar,2,1
osam prottoi vaiya amaka akta prank a niban,osam prottoi vaiya amaka akta prank niban,2,0
sei moja,sei moja,0,1
are or our kichu bolte parche na sudhu haste haste sess,kichu bolt parch na sudhu hast hast sess,0,0
এটা গান হতে পারে না এটা কত কত পুরুষ এর জীবনযা উপরে দেখা সম্ভব নয়,গান না পুরুষ জীবনযা,2,0
who stayed here since 2019,stay sinc,4,1
loucura,loucura,0,0
ooooooo ummmmm,ooooooo ummmmm,0,1
সব কিছু নিয়ে এসব করা ঠিক নয়,এসব,2,0
সবথেকে বেশি শূন্যতা অনুভব করি ৬ষ্ঠ থেকে ১০ম শ্রেণির সেই সময়টাযখন আমরা সব বন্ধুরা মিলে স্কুলে যেতাম আবার স্কুল থেকে বাড়ি ফিরে বিকালে ক্রিকেট ফুটবল কাবাডি গাদি লুকোচুরি ইত্যাদি খেলা করতাম এবং খেলা শেষে নদীতে স্নান করতাম যতোক্ষণ না চোখ লাল হয় আহা আহা শৈশব,সবথে শূন্যতা অনুভব ষ্ঠ ম শ্রেণির সময়টাযখন বন্ধু মিলে স্কুলে যেতাম স্কুল বাড়ি বিকালে ক্রিকেট ফুটবল কাবাডি গাদি লুকোচুরি খেলা করতাম খেলা শাষ নদী স্নান করতাম যতোক্ষণ না চোখ আহা আহা শৈশব,0,2
রাত হলে ঘুম আসে না  রাত মানে ডিপ্রেশন  ফাস্ট্রেশন  ওভার থিংকিং  ১৬ ১৭ ১৮ তেই এই অবস্থা  বাকি ৭ বছর কি হবে  ২৫ টা কি রুপ ভয়ংকর হবে ,রাত ঘুম না রাত ডিপ্রেশন ফাস্ট্রেশন ওভ থিংকিং তেই রুপ ভয়ংকর,0,0
আপনার গান গুলো কিছু কিছু মানুষের মনের বিতরে থাকা আর্তনাদ চিৎকার,গান গুলো মানুষ মন বিতরে আর্তনাদ চিৎক,0,0
যে বড় হওয়ার স্বপ্ন দেখে শৈশব কাটিয়ে দিলামআজ একটাই দুঃখ কেনো শৈশব হারালাম,হওয় স্বপ্ন শৈশব কাটা দিলামআজ এক দুঃখ কেনো শৈশব হারা,0,0
25 তো অনেকদূর আমিতো ১৯ থেকেই মৃত বাকি যেটুকু ছিল ২১ এ শেষ,অনেকদূর আমি মৃত যেটুকু,0,0
তোমার video তে তো সব kotai তো bangladeshi,video তে kotai bangladeshi,0,0
মনটা ভরে গেছে,মন ভরে,0,2
who39s listening this masterpiece in august 2025,who listen masterpiec august,4,1
2026 people we got this,peopl got,0,2
ki video etagajakhori laglo puro ki jata,ki video etagajakhori laglo puro ki jata,4,1
who listen in september 2025,listen septemb,4,1
সেই পুরোনো দিন গুলো কি আর ফিরে পাওয়া যাবে না মিস ইউ শৈশব কাল,গুলো পাওয়া না মিস ইউ শৈশব কাল,0,0
2025 but have old aura and old memories,old aura old memori,0,1
যারা আমার মত জীবন্ত লাশ তাঁরা রিপ্লাই দিয়েন,জীবন্ত লাশ রিপ্লা দিয়,0,0
dada mobal kichaklat hisaba khachilo,dada mobal kichaklat hisaba khachilo,0,0
mind blowing acting,mind blow act,2,2
আহারে জীবন,আহারে জীবন,1,1
quién en 2025,quién en,1,1
গান শুনে আপনার ফ্যান হয়ে গেলাম,গান শুনে ফ্যান গেল,2,2
best of episode of ajaira limited,best episod ajaira limit,2,2
nice all you video bi,nice video bi,0,2
ha ha ha ha,ha ha ha ha,0,2
love india from maldives,love india maldiv,0,2
আহাভাই সামনের মাসের ১৬তারিখ আমার ফ্লাইট আজকেই টিকিট বুকিং করছিআর আজ এমন গান আপলোড দিলেন,আহাভা সামন মাস তারিখ ফ্লাইট আজকে টিকিট বুকিং করছিআর গান আপলোড,0,2
বাংলাদেশের হিন্দুদের কি নিজের ভাই মনে হয় নাহলে বাদ দেন আর মনে হলে তাদের উপর হওয়া জংগীপনা নিয়ে একটা ভিডিও বানান,বাংলাদেশের হিন্দু ভাই নাহলে হওয়া জংগীপনা এক ভিডি বানান,4,0
darun boss,darun boss,0,2
ой моя любимая песенка,ой моя любимая песенка,0,2
f9,f,0,1
ami khub vito silan,ami khub vito silan,0,2
কথায় আহারে,কথায় আহারে,1,1
bhai assa kori arokom song abr pabo ar he saif bhai thiks arokom akta upohar dewar jonno,bhai assa kori arokom song abr pabo ar saif bhai thik arokom akta upohar dewar jonno,2,2
আমার জীবন থেকে কিছু বছর কেটে দেওয়া হোক আমার শৈশবে ফিরে যেতে চাই আবার নতুন করে নিজেকে বাঁচানোর চেস্টা করবো,জীবন কাট শৈশবে চাই বাঁচানোর চেস্ করবো,0,0
alamin,alamin,1,1
awesome ajaira guys ,awesom ajaira guy,2,2
কোথায় আহারে আহারে আহারে শৈশবকোথায় হারিয়ে হারিয়ে গেল কৈশোর,আহারে আহারে আহারে শৈশবকোথায় হারিয়ে হারিয়ে কৈশোর,0,0
darun dadavai,darun dadavai,0,1
amon cng salok kothay jaila pabo,amon cng salok kothay jaila pabo,0,0
who are watching in 2021,watch,4,1
greatest of all time,greatest time,2,2
nice video bro,nice video bro,2,2
আসতে চাই,আস চাই,2,1
octobre 2025,octobr,1,1
faltu video,faltu video,2,0
amar sata pram korba,amar sata pram korba,0,0
amder son of a btch school exam er kotha mone pore galo sai,amder son btch school exam er kotha mone pore galo sai,0,0
ami to be honest ashte chai erom games jodi kokhono host koro,ami honest asht chai erom game jodi kokhono host koro,2,1
i like this game what39s it called old man down the road sounds like a fun game grateful,like game what call old man road sound like fun game grate,2,2
one of the best song ever evergreen,one best song ever evergreen,2,2
ভাই তোমার সব ভিডিও আতো আতো জোস,ভাই ভিডি আত আত জোস,2,2
joss bro,joss bro,0,2
আহারে সত্যিই কোথায় হারালো সেই শৈশবে russell ভাইয়ের সেই পুরোনো ভূত fm বৃহস্পতিবার রাত ১১৫৯ মিনিটকোথায় যে হারালো,আহারে কোথায় হারালো শৈশবে russel ভাইয় ভূত fm বৃহস্পতিব রাত মিনিটকোথায় হারালো,0,0
is that beyoncé at the beginning,beyoncé begin,4,1
class change hote hote amio change hoye gelam,class chang hote hote amio chang hoy gelam,0,1
2019 a o airocom ackta video chai,airocom ackta video chai,1,1
os3r natok,osr natok,1,1
nice song foishhal bhai,nice song foishhal bhai,2,2
do any of you know rono class 5 fulki school,know rono class fulki school,4,1
ajke mayabotir biye,ajk mayabotir biy,0,0
আমি এই গানটা অনেক বার শুনেছি কিন্তু যখন শুনি তখন বুক পেটে কান্না চলে আসে জানিনা এই কথা গুলো কেনো এতো ভালো লাগে কেনো এতো অঝোরে চোখের পানি আসে,গান শুনে শুনি বুক পাট কান্না জানিনা কথা গুলো কেনো এত ভালো লাগে কেনো এত অঝোরে চোখ পানি,0,2
bi,bi,1,1
jara vedio dekcen and baiyer big fan tabhoel anar chanel ta subscribe korenasun,jara vedio dekcen baiyer big fan tabhoel anar chanel ta subscrib korenasun,1,2
২০১৩ লিখে গেলাম আজ নোটিফিকেশন আসলে আবার এসে শুনবো এই গান শুনলে কোমায় যেতে হয়,লিখে গেল নোটিফিকেশন আসলে শুনবো গান শুনলে কোমায়,0,2
kivabe sombhob ettu bastob jiboner sathe miliye likha such a good singer and writer,kivab sombhob ettu bastob jibon sath miliy likha good singer writer,2,2
ami 5 number ar question okay tanatani kora akdom 10 number ar akta golpo lhika astam ar khata barola dhaktam to paya6i,ami number ar question okay tanatani kora akdom number ar akta golpo lhika astam ar khata barola dhaktam payai,1,1
3sept 2025,sept,1,1
i was waiting for quotami poriquot,wait quotami poriquot,1,1
kar samne exam ache,kar samn exam ach,1,1
কারা কারা 2024 সালে এসেও এই ভিডিও তা দেখেছ,কার কার সালে এসে ভিডি দাখ,4,1
faltuvalo laglo na samne aro valo hua chi,faltuvalo laglo na samn aro valo hua chi,0,0
kiran da tomar koto rank chilo wbjee te ,kiran da tomar koto rank chilo wbjee te,4,1
15m likes,m like,1,2
sei purono aamej video te,sei purono aamej video te,1,1
904 ki marani,ki marani,4,1
855 bhai ata sai chilo,bhai ata sai chilo,0,2
ইমোশনাল হয়ে যাই এসব গান শুনলে,ইমোশনাল এসব গান শুনলে,0,2
২০১৯ এ কে কে দেখতাছেন লাইক মারেন,দেখতাছ লাইক মারেন,1,1
chi chi ramjan niye asob yearki kara ki thik hocche,chi chi ramjan niy asob yearki kara ki thik hocch,2,1
আহ্্্্্ রে বুকের ভেতর এখন মুচর দিয়ে উঠে কেন যেবড় হতে চাইছিলাম এখন খুব আপসোস হয়,আহ্্্্্ রে বুক ভেতর মুচর উঠে যেবড় চাইছি আপসোস,0,0
badly miss a lot my childhood,badli miss lot childhood,0,0
দাদা একবার কল করোআমি তোমার হেল্প করব প্লিজ দাদা কলটা করো 9734 4761 05,দাদা কল করোআমি হেল্প কর প্লিজ দাদা কল করো,1,1
who listen in 1st oct 2025,listen st oct,4,1
ভালই ছাঁচা খেয়ে এখন টুলেট প্রাংক কিং এএ,ভাল ছাঁচা খায় টুলেট প্রাংক কিং এএ,1,1
এই গান টা শুনলে মনের অজান্তেই কান্না আসে,গান শুনলে মন অজান্তে কান্না,0,0
কোথায় হারিয়ে গেল আমার সেই সব শৈশব,কোথায় হারা শৈশব,0,0
lgbt,lgbt,1,1
exam ta darun exam,exam ta darun exam,0,2
valo chilo,valo chilo,0,2
আমার সপ্ন এখান পড়ার,সপ্ন এখান পড়,0,2
বড় হতে চেয়েছিলাম এত বড় হয়ে যাবো ভাবিনি কখনো যে নিজের ঘর ছাড়তে হবে,চেয়েছি যাবো ভাবিনি কখনো ছাড়,0,0
avicii collaborated in this song,avicii collabor song,1,1
ami to bar hsc exam diye fell korchi ami ekhon oh bece achi,ami bar hsc exam diy fell korchi ami ekhon oh bece achi,0,1
tumi dhonir fan naki virat er,tumi dhonir fan naki virat er,4,1
kichu manush 25 er aagei,kichu manush er aagei,1,1
intro tar ganta sheiname ki,intro tar ganta sheinam ki,0,0
forever niseko memory andy san best friend forever even though we don39t meet since 2022,forev niseko memori andi san best friend forev even though dont meet sinc,0,2
nice kiran da,nice kiran da,2,2
temon,temon,0,1
last er gan ta er name ki,last er gan ta er name ki,4,1
ছাগল কান্ঠে পর বাংলাদেশের সরকার বদলে গেল তুমি ছাগল নিয়ে বাড়াবাড়ি করোনা,ছাগল কান্ঠে বাংলাদেশের সরক ছাগল বাড়াবাড়ি করোনা,2,0
chotto chele er segment ta darun oke humble korar dorkar chilo,chotto chele er segment ta darun oke humbl korar dorkar chilo,2,2
anyone 1008 2025,anyon,1,1
ami morlam 21 e,ami morlam e,1,1
তুমি দাদাগিরিতে গেছ,দাদাগিরি গেছ,0,1
dada tmr ai roast video ta dekhar jonno waiting a chilamanyway from assam,dada tmr ai roast video ta dekhar jonno wait chilamanyway assam,0,2
আমি ও সব টাইপের ছিলাম,টাইপ ছিল,1,1
sala malor bachaa islam niya tatta koros,sala malor bachaa islam niya tatta koro,0,0
এক সময় ভাবতাম কবে বড় হবোএখন বুঝি যতই বড় হচ্ছিততই দুঃখ পাচ্ছি,সময় ভাবতাম বড় হবোএখন বুঝি যত বড় হচ্ছিতত দুঃখ পাচ্,0,0
আমার শৈশব ভালো ছিল না কৈশোর ও ভালো ছিল নাআমি খুব ডিপ্রেশনে ভুগছি ছোট থেকেই সামনের দিনগুলোতে আরো সমস্যা আসবে  আল্লাহ আমাকে ধৈর্য দিক আমি মানুষিক ভাবে অনেক দূর্বল বেশি চাপ নিতে পারি না,শৈশব ভালো না কৈশোর ভালো নাআমি ডিপ্রেশনে ভুগ সামন দিন আরো সমস্যা আসবে আল্লাহ ধৈর্য দিক মানুষিক দূর্বল চাপ না,0,0
ami 25 noi 15 tobe kn jani ei gaan ta onek valo lage  zoto koshto loukate cai kanna hoye son of a btch prokash pai ,ami noi tobe kn jani ei gaan ta onek valo lage zoto koshto loukat cai kanna hoy son btch prokash pai,2,2
my favourite youtuber,favourit youtub,2,2
অসাধারণ হয়েছে দাদাভাই,অসাধারণ দাদাভা,2,2
today 15th july is my birthday and i39m listening this song,today th juli birthday im listen song,0,2
ata amar favourite video 211 amar favourite,ata amar favourit video amar favourit,2,2
যারা 2020 তে ভিডিও টা দেখছেন,তে ভিডি দেখছ,1,1
i don39t know what ruined music for this world past this decade,dont know ruin music world past decad,2,0
আহারে শৈশব আবর যদি ফিরে পাইতাম,আহারে শৈশব আবর পাইতাম,0,0
একসময় আমি quotextra sheet quot টাইপের student ছিলাম school life এ আর college এ ওঠার পর quotসমাজ বিরোধী quot,একসময় quotextra sheet quot টাইপ student ছিল school life colleg ওঠ quotসমাজ বিরোধী quot,0,1
আসলেই আমরা একটা জীবন্ত লাশতারপরেও আমরা জীবিত থাকি এবং আবার মরে যায়,আসলে এক জীবন্ত লাশতারপরে জীবিত থাকি মরে যায়,0,0
মরেছি তো সেই ১৭১৮ তে তারপর ও ৭৮ বছর বেঁচে আছি,মরে তে বেঁচে আছি,0,0
music ta joss,music ta joss,2,2
প্রতিদিন শুনি মিনিমাম একবার মন খারাপের সাথী,প্রতিদিন শুনি মিনিমাম মন খারাপ সাথী,0,0
bolar kichu nai,bolar kichu nai,0,0
ফিরে আসা দিনগুলো মনে পরে গেলো,দিন গেলো,0,0
i39m feeling drunk and highso highso high,im feel drunk highso highso high,0,1
122 ৯ এর পরে আট টা mistakenly দিয়ে দিয়েছে হয়তো examiner,mistakenli examin,1,1
গানটা কেমন জানি কলিজাটাকে টাচ করে,গান কেমন জানি কলিজাটা টাচ,0,1
waiting for random guy to come listen itits been many years since you havent come here,wait random guy come listen itit mani year sinc havent come,0,0
হাসতে হাসতে পেট বেথা হয়েগেছে৷ ৷,হাস হাস পেট বেথা হয়েগেছে৷ ৷,0,2
2021 kk dekchen ata,kk dekchen ata,1,1
geroselimbdcomgerotv01627124791,geroselimbdcomgerotv,1,1
দুটোই করেছিলাম,দুটো করেছি,1,1
love this song from the philippines,love song philippin,2,2
২০২৫ সালের সেরা গান জীবনের বাস্তবতার মুখোমুখি হয়ে মরে গিয়েও বেঁচে থাকতে হবে সবার মনে কষ্ট ভুলে বহুকাল বাঁচার আসা রাখতে হবে,সাল গান জীবন বাস্তবত মুখোমুখি মরে গিয়ে বেঁচে থাক কষ্ট ভুলে বহুকাল বাঁচ রাখ,2,2
miksing,miks,1,1
this is real life,real life,1,1
2015 best time of my life,best time life,2,2
একটা মেয়ের জন্য সব শেষ,এক মেয়ের,0,0
ভাই কান্দাইয়া দিলেন,ভাই কান্দাইয়া,0,0
khub besi moja paichi,khub besi moja paichi,0,2
103 and 254 is fully like me in exam hall,fulli like exam hall,2,2
i love ajaira limited ,love ajaira limit,2,2
ভাই সেরা সেরা খুব সুন্দর হয়েছে,ভাই সুন্দর,2,2
this era of music was unbeliavably exceptional,era music unbeliav except,2,2
চোখে পানি চলে আসে এ মাস্টারপিস গানটা শুনলে,চোখে পানি মাস্টারপ গান শুনলে,0,2
ɪɴ ᴇxᴀᴍ ᴛɪᴍᴇ ɪ ᴀᴍ sᴇᴇɪɴɢ ᴍʏ ғʀɪᴇɴᴅs ᴡʜᴇɴ ᴛʜᴇʏ ɢɪᴠᴇ ᴍᴇ ᴀɴs,ɪɴ ᴇxᴀᴍ ᴛɪᴍᴇ ɪ ᴀᴍ sᴇᴇɪɴɢ ᴍʏ ғʀɪᴇɴᴅ ᴡʜᴇɴ ᴛʜᴇʏ ɢɪᴠᴇ ᴍᴇ ᴀɴ,1,1
woww edsanahanumankinddheewhat a collaboration  western classical fusion especially that flute,woww edsanahanumankinddheewhat collabor western classic fusion especi flute,0,2
অসাধারণ অসাধারণ,অসাধারণ অসাধারণ,2,2
lizard o tar colour change corte time neibut you too good minute er moddhe carecter change koro,lizard tar colour chang cort time neibut good minut er moddh carect chang koro,2,2
সেই 1718 বছরের হারিয়ে গিয়েছিলাম গানটা শুনতে শুনতে,বছর হারিয়ে গান শুন শুন,0,1
bhalo video chilo ami exam er somai teacher deke clarification chai,bhalo video chilo ami exam er somai teacher deke clarif chai,1,1
son of a btch take valo exam hosse 2020,son btch take valo exam hoss,0,0
somajbirodhi,somajbirodhi,0,1
it39s summer 2k16 am heading to work with my late dead i39ve just turned 16 on may put my headphones on and this song is playing10 years later and i still get the same vibe,it summer k head work late dead ive turn may put headphon song play year later still get vibe,0,2
kon kon aaj sun raha hai,kon kon aaj sun raha hai,1,1
bro tahole to amr o cng chalano dorkae,bro tahol amr cng chalano dorka,0,0
একটা সিগারেট সাথে কিছু দীর্ঘ নিঃশাস আহ কত আফসোস হাহাকার,এক সিগারেট সাথে দীর্ঘ নিঃশাস আহ আফসোস হাহা,0,0
this was more than a song… it was a whole era,song… whole era,2,2
এই গানটিতে জাদু আছে এই গান শুনলে মনে হয় যে আবার শৈশবে ফিরে যাই,গান জাদু গান শুনলে শৈশবে,0,2
not to played save,play save,2,0
this song is better without beyonce39 part her voice ruined it for me,song better without beyonc part voic ruin,2,0
গানটা শুনে নিজে কে নিয়ে আবার ভাবতে শুরু করছি,গান শুনে ভাব কর,0,1
onakdonoubad,onakdonoubad,1,1
মবিল দিয়ে ভাত খাচ্ছে আমাদের সিলেটের সুনামগঞ্জ জেলার জগন্নাথপুর উপজেলার লিটন পাগলা,মবিল ভাত খায় সিলেটের সুনামগঞ্জ জেল জগন্নাথপুর উপজেল লিটন পাগলা,0,0
দারুন ছিল,দারুন,2,2
onek sundor hoise haste haste kainda disi,onek sundor hois hast hast kainda disi,0,2
মেয়ে পচানো ভালো আইডিয়া,মায় পচানো ভালো আইডিয়া,2,0
220 এ খুব সুন্দর,সুন্দর,2,2
ke ke ei vedio ta 2021 sale deksen tara like koren,ke ke ei vedio ta sale deksen tara like koren,1,1
loved it ,love,2,2
hello bro instant message 2026,hello bro instant messag,1,1
hahah you are or our soo funny,hahah soo funni,0,2
o vai,vai,0,1
আপনি কত বছরে মরেছিলেন ভাই ,বছরে মরেছি ভাই,0,0
ভাই আমি তো মরে গেছি ২০ শে,ভাই মরে গেছি শে,0,0
it’s a futuristic masterpiece if you play thischords e cm asus2 bsus4 amrhythm d dudu,it’ futurist masterpiec play thischord e cm asu bsu amrhythm dudu,2,2
শৈশব মাএই আনন্দ করার মুহূর্ত যেটা সারা জীবন মনে অমর হয়ে খাকবে আর ফিরে পাওয়া যাবেনা অনুভবে দেখবো,শৈশব মাএ আনন্দ মুহূর্ত যেটা সার জীবন অমর খাকবে পাওয়া যাবেনা অনুভবে দেখবো,0,2
এই প্যতয়হিরন একটা বিদরমি কাফের কাফেরইসলামকে নিয়ে নাটক করচে এইকাফেরওরনাটক মুসলমান ভাই কেউ দেকবেনা,প্যতয়হিরন এক বিদরমি কাফ কাফেরইসলামকে নাটক করচে এইকাফেরওরনাটক মুসলমান ভাই দেকবেনা,0,0
ami to 18 more gaci,ami gaci,0,0
আমার জীবন ১৯ থেকেই মরেই গেছে,জীবন মরে,0,0
prottoy tmr ai vedio deikha amr abbu oo moja paice,prottoy tmr ai vedio deikha amr abbu oo moja paic,0,2
my fave group ever please make a new album,fave group ever pleas make new album,2,2
superrrrrrr,superrrrrrr,0,2
044 does anyone feel the voice is very similar to indian musician ar rahman,anyon feel voic similar indian musician ar rahman,4,1
junio 2025,junio,4,1
ভাইরে বিশ্বাস কর অনেক দিন পর তোর ভিডিও দেখতে দেখতে হাসতে হাসতে পেটে ব্যাথা ধরে গেলো আমি তো ভেবেছিলাম যে তুই ও শেষ কিন্তু you are or our a greatest of all time keep it up brother,ভাইরে বিশ্বাস কর তোর ভিডি হাস হাস পাট ব্যাথা গেলো ভেবেছি তুই greatest time keep brother,0,2
ভালো ভিডিও মজাপাইছি,ভালো ভিডি মজাপাই,2,2
২৫ এই কমেন্ট করে গেলাম,কমেন্ট গেল,1,1
ami aste cai,ami ast cai,0,1
ami to son of a btch gulo role play kori,ami son btch gulo role play kori,0,0
er chobi tai ami bujhlam ja tumi naki single noi  i am sorry,er chobi tai ami bujhlam ja tumi naki singl noi sorri,0,0
awsome i love you,awsom love,0,2
india 2025,india,1,1
last comment,last comment,1,1
amio asbo,amio asbo,1,1
who39s listening this master piece in october 5th 2025,who listen master piec octob th,4,1
fbxhxnhx,fbxhxnhx,1,1
অনেক সুন্দর গান টা ছোট বেলার কথা মনে করায়া দেয়,সুন্দর গান বেল কথা করায়া,2,2
সবসময়ে topper ছিলাম,সবসময়ে topper ছিল,2,2
আহা জীবন,আহা জীবন,0,2
nice sory,nice sori,2,2
9 years old song,year old song,1,1
daruunn daruun,daruunn daruun,0,1
who is here after the concert,concert,4,1
bai os3r lage gan ta,bai osr lage gan ta,0,0
takker,takker,1,1
bulti name tai keno,bulti name tai keno,4,1
